NatEmis,Province,Official_Institution_Name,STATUS,Sector,Phase_PED,Specialisation,GIS_Long,GIS_Lat,District Mun Name,Local MunName,Ward_ID,Town_City,StreetAddress,Telephone,Section21,School Fees,Urban_Rural,Town_Suburb,Towns/suburb,suburb_coordinates
700221002,GT,REFENTSE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.359497,-25.705787,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900093,PRETORIA,"4500, RIBANE STREET, MAMELODI WEST, MAMELODI, PRETORIA",107860747,YES,No,URBAN,MAMELODI WEST,Mamelodi West,"(-25.7083622, 28.3478165)"
700211789,GT,WOZANIBONE INTERM FARM SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.530928357,-25.904947865,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,PRETORIA,"3, PLOT 36, KAMEELZYNKRALL, BRONKHORSTSPRUIT, PRETORIA",130079003,YES,No,URBAN,KAMEELZYNKRAAL,Kameelzynkraal,"(-25.92055, 28.52258)"
700240820,GT,KODUMELA PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.207360791,-25.60243455,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900096,PRETORIA,"1, NERINA STREET PLOT 20 & 21, HORINGNESTKRANS, PYRAMID, PRETORIA",799922413,YES,No,RURAL,HONINGNESTKRANS,Honingnestkrans,"(-25.603462695, 28.191965445)"
700210096,GT,CULLINAN SECONDARY SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.523584,-25.678019,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900100,CULLINAN,"12,  GVG ZONDERWATER ROAD, CULLINAN, CULLINAN, CULLINAN",127341019,YES,Yes,URBAN,CULLINAN,Cullinan,"(-25.670556, 28.528889)"
700220558,GT,BOHLABATSATSI PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.339851827,-25.712377096,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900038,PRETORIA,"  653, MAKHUSELA, MAMELODI WEST, MAMELODI, PRETORIA",761066863,YES,No,URBAN,MAMELODI WEST,Mamelodi West,"(-25.7083622, 28.3478165)"
700913626,GT,TIM MODISE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.00969191,-25.60768066,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900032,PRETORIA,"7383, MAKGOPELA, GA-RANKUWA, TSHWANE, PRETORIA",127003016,YES,No,URBAN,GA-RANKUWA,Ga-Rankuwa,"(-25.6041667, 28.0052778)"
700220418,GT,LAERSKOOL QUEENSWOOD,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.25450209,-25.73049533,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900084,PRETORIA,"1251, KIRKBY STREET, QUEENSWOOD, PRETORIA",123330255,YES,Yes,URBAN,QUEENSWOOD,Queenswood,"(-25.7323222, 28.24756)"
700220897,GT,MORETELE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.35873019,-25.71421225,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900028,PRETORIA,"5458, DIKGAKGATHE STREET, MAMELODI, MAMELODI, PRETORIA",123000800,YES,No,URBAN,MAMELODI,Mamelodi,"(-25.7158053, 28.3808295)"
700911845,GT,RETLILEPELE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.076602,-25.512014,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900021,PRETORIA,"2299, BLOCK B, MABOPANE, PRETORIA",127010943,YES,No,URBAN,MABOPANE,Mabopane,"(-25.5080556, 28.0680556)"
700241141,GT,REDIBONE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.094392057,-25.515206247,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900034,PRETORIA,"880, BLOCK  F, SOSHANGUVE, PRETORIA",127976574,YES,No,URBAN,SOSHANGUVE,Soshanguve,"(-25.5263889, 28.0994444)"
700241471,GT,TSHWANE CHRISTIAN SCHOOL,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.139668333,-25.538465,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900096,WONDERBOOM,"101, PIET MY VROU, , ONDERSTEPOORT, WONDERBOOM",127516747,NO,Yes,RURAL,ONDERSTEPOORT,Onderstepoort,"(-25.6513746, 28.17938670152091)"
700910761,GT,KOPA DILALELO PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.068692798,-25.515503948,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900021,PRETORIA,"2735, BLOCK B, MABOPANE, MABOPANE, PRETORIA",127028349,YES,No,URBAN,MABOPANE,Mabopane,"(-25.5080556, 28.0680556)"
700400730,GT,SIPHIWE MONTESSORI SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.102189,-25.537904,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900036,PRETORIA,"1480, BLOCK L, SOSHANGUVE, PRETORIA",127308015,NO,Yes,URBAN,SOSHANGUVE,Soshanguve,"(-25.5263889, 28.0994444)"
700231936,GT,MAREMATLOU PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.07681557,-25.7711572,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900062,PRETORIA,"12, MOLOANTOA STREET, ATTERIDGEVILLE, PRETORIA",123738423,YES,No,URBAN,ATTERIDGEVILLE,Atteridgeville,"(-25.7629818, 28.0748568)"
700210799,GT,LAERSKOOL RAYTON,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.527566293,-25.74423941,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900100,RAYTON,"1, CORNER OF SUID AND PLEIN STREET, RAYTON, RAYTON, RAYTON",127344141,YES,Yes,URBAN,RAYTON,Rayton,"(-25.740067, 28.533168)"
700921428,GT,SITJHEJIWE SECONDARY SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.741112482,-25.683143209,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900103,BRONKHORSTSPRUIT,"4210, 4210 SECTION B, EKANGALA, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",872657208,YES,No,URBAN,EKANGALA,Ekangala,"(-25.6983333, 28.7530556)"
700910398,GT,GALEBOE MIDDLE SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.064482,-25.466131,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900009,PRETORIA,"1459, MOKGATLE STAND, WINTERVELD, , PRETORIA",716595504,YES,No,URBAN,WINTERVELD,Winterveld,"( -25.416667, 28.033333)"
700220855,GT,MODIRI TECHNICAL SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,TECHNICAL,28.365448,-25.707544,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900093,PRETORIA,"19697, MODISE STREET, MAMELODI WEST, MAMELODI, PRETORIA",814859555,YES,No,URBAN,MAMELODI WEST,Mamelodi West,"(-25.7083622, 28.3478165)"
700400097,GT,EDUPLEX COMBINED SCHOOL,OPEN,INDEPENDENT,INTERMEDIATE SCHOOL,ORDINARY,28.24677183,-25.72473163,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900084,PRETORIA,"1186, 1186 DORMER STREET, , QUEENSWOOD, PRETORIA",129412000,NO,Yes,URBAN,QUEENSWOOD,Queenswood,"(-25.7323222, 28.24756)"
700925181,GT,HLABELELA PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.751496049,-25.695173175,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,BRONKHORSTSPRUIT," 701, SECTION D, EKANGALA, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",817514689,YES,No,URBAN,EKANGALA,Ekangala,"(-25.6983333, 28.7530556)"
700911971,GT,SEROTO MATSHEHLA PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.250981549,-25.357746896,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900076,PRETORIA,"4751, MOSATE SECTION, MAJANENG, HAMMANSKRAAL, PRETORIA",127100011,YES,No,URBAN,MAJANENG,Majaneng,"(-25.3572222, 28.24)"
700911829,GT,RENEILWE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.263143174,-25.374768227,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900074,PRETORIA,"2472, UNIT 2, TEMBA, TEMBA, PRETORIA",127175914,YES,No,URBAN,TEMBA,Temba,"(-25.3802778, 28.2630556)"
700912187,GT,TLOTLOMPHO PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,27.991442246,-25.615560673,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900031,PRETORIA,"650, TAUNYANE, GA-RANKUWA, GA-RANKUWA, PRETORIA",127031011,YES,No,URBAN,GA-RANKUWA,Ga-Rankuwa,"(-25.6041667, 28.0052778)"
700400435,GT,CURRO HAZELDEAN HIGH SCHOOL,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.387333,-25.780694,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,PRETORIA,", SILVER LAKES STREET, , HAZELDEAN, PRETORIA",128098916,NO,Yes,URBAN,HAZELDEAN,Hazeldean,"(-25.7845, 28.3544)"
700911703,GT,RADINEO PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.039947784,-25.497816954,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900022,PRETORIA,"1051, BLOCK U, MABOPANE, MABOPANE, PRETORIA",127024800,YES,No,URBAN,MABOPANE,Mabopane,"(-25.5080556, 28.0680556)"
700400633,GT,JACARANDA COLLEGE,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.145176,-25.906497,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900064,PRETORIA,"4, AMANDA STREET, THE REEDS, CENTURION",126619222,NO,Yes,URBAN, THE REEDS, The Reeds,"(-25.8991667, 28.1341667)"
700921692,GT,MAHLENGA SECONDARY SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.894341666,-25.601236667,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,PRETORIA,"111, SOKHULUMI VILLAGE, BRONKHORSTSPRUIT, PRETORIA",813251505,YES,No,URBAN,BRONKHORSTSPRUIT,Bronkhorstspruit,"(-25.808056, 28.741389)"
700220939,GT,N'WA-VANGANI PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.386183001,-25.723474,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900015,PRETORIA,"17986, MOTIMALENYORA, MAMELODI, MAMELODI, PRETORIA",128158095,YES,No,URBAN,MAMELODI,Mamelodi,"(-25.7158053, 28.3808295)"
700240663,GT,ENTOKOZWENI PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.1141803,-25.51056313,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900033,PRETORIA,"1316, BLOCK G, SOSHANGUVE, PRETORIA",127972004,YES,No,URBAN,SOSHANGUVE,Soshanguve,"(-25.5263889, 28.0994444)"
700400975,GT,CENTURION SECONDARY SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.142251,-25.865018,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900070,PRETORIA,"939, HENDRIK STREET, WIERDAPARK, CENTURION",126534167,YES,Yes,URBAN,WIERDAPARK,Wierdapark,"(-25.8602778, 28.1466667)"
700211409,GT,IRENE MIDDLE FARM SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.228288812,-25.877635314,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900065,CENTURION,"12, CO\NELMAPIUS & JANSMUTS AVENUE, IRENE, IRENE, CENTURION",126671968,YES,No,URBAN,IRENE,Irene,"(-25.8812,  28.2263)"
700230789,GT,LAERSKOOL BOEREFORT,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.192745847,-25.700363109,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900054,PRETORIA,"325, DE BEER STREET, WONDERBOOM SOUTH, PRETORIA",123352841,YES,Yes,URBAN,WONDERBOOM,Wonderboom,"(-25.6833333, 28.2113889)"
700400869,GT,GREENHILL GB PRIMARY SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.081444,-25.904612,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900106,PRETORIA,"232, MONUMENT DRIVE, MNANDI AH, CENTURION",126523903,NO,Yes,URBAN,MNANDI AH,Mnandi Ah,"(-25.8861, 28.0742)"
700230987,GT,LAERSKOOL SAAMSPAN,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.15719544,-25.69792039,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900001,PRETORIA,"545, DANIELSTRAAT, MOUNTAIN VIEW, PRETORIA",123799019,YES,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700401069,GT,CULLINAN PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.521451,-25.673904,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900100,PRETORIA,"7824, KAMEELDORING STREET, CULLINAN, CULLINAN, PRETORIA",127341990,NO,Yes,URBAN,CULLINAN,Cullinan,"(-25.670556, 28.528889)"
700220590,GT,DR IM MONARE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.362072361,-25.7112922,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900028,PRETORIA,"9994, NTSIENG STREET, MAMELODI  WEST, MAMELODI, PRETORIA",823731633,YES,No,URBAN,MAMELODI WEST,Mamelodi West,"(-25.7083622, 28.3478165)"
700240572,GT,BOEPATHUTSE JUNIOR SECONDARY SCHOOL,OPEN,PUBLIC,COMBINED SCHOOL,ORDINARY,28.104061771,-25.511289659,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900033,PRETORIA,"1514, MOSENENE STREET, BLOCK F, SOSHANGUVE, PRETORIA",127992502,YES,No,URBAN,SOSHANGUVE,Soshanguve,"(-25.5263889, 28.0994444)"
700230391,GT,IONA CONVENT,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.2032191,-25.72821441,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"263, VOORTREKKER ROAD, , CAPITAL PARK, PRETORIA",123291033,NO,Yes,URBAN,CAPITAL PARK ,Capital Park ,"(-25.7241667, 28.1877778)"
700231878,GT,MABAFENG PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.06431049,-25.77732963,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900062,PRETORIA,"2, TSHITSHIDI, SAULSVILLE, PRETORIA",123755911,YES,No,URBAN,SAULSVILLE,Saulsville,"(-25.7702778, 28.0547222)"
700231910,GT,MAKGWARANENG PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.065105363,-25.780918434,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900072,PRETORIA,"01, CNR TSHEPE & TSITOE, SAULSVILLE, PRETORIA",123756999,YES,No,RURAL,SAULSVILLE,Saulsville,"(-25.7702778, 28.0547222)"
700221218,GT,ZAMINTUTHUKO PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.339613354,-25.70310929,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900067,PRETORIA,"2329, SECTION G. SIBANDE, MAMELODI WEST, SILVERTON, PRETORIA",128054270,YES,No,URBAN,MAMELODI WEST,Mamelodi West,"(-25.7083622, 28.3478165)"
700910524,GT,IKAGENG PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.00092124,-25.612116989,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900031,PRETORIA,"2830, MATSHEGO STREET, GA-RANKUWA, ZONE 2, PRETORIA",127032624,YES,No,URBAN,GA-RANKUWA,Ga-Rankuwa,"(-25.6041667, 28.0052778)"
700231043,GT,LORETO CONVENT SCHOOL,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.184955,-25.752435,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900060,PRETORIA,"135, SKINNER STREET, , PRETORIA",123266342,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700211078,GT,ST ALBAN'S COLLEGE,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.284526042,-25.773330531,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900046,PRETORIA,"110, CLEARWATER ROAD, , LYNNWOOD GLEN, PRETORIA",123481221,NO,Yes,URBAN,LYNNWOOD GLEN,Lynnwood Glen,"(-25.7727778, 28.2794444)"
700240879,GT,LEEUWFONTEIN PRIMARY FARM SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.37585494,-25.65552487,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900099,PRETORIA,"63, PLOT 63, LEEUWFONTEIN, LYNN EAST, PRETORIA",128003330,YES,No,RURAL,EAST LYNNE,East Lynne,"(-25.7064, 28.2730)"
700240739,GT,HLANGANANI SECONDARY SCHOOL,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.11805418,-25.50910834,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900033,PRETORIA,"971, BLOCK G, SOSHANGUVE, PRETORIA",127993590,YES,No,RURAL,SOSHANGUVE,Soshanguve,"(-25.5263889, 28.0994444)"
700221135,GT,TLAKUKANI PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.368978001,-25.715540754,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900023,PRETORIA,"12506, TSAMAYA, MAMEMLODI, PRETORIA",128011684,YES,No,URBAN,MAMELODI,Mamelodi,"( -25.723444 , 28.422152)"
700241562,GT,PRINCESS PARK COLLEGE ROSSLYN,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.132586666,-25.633018333,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900098,AKASIA,"135, AMETIS ROAD, , KLERKSOORD, AKASIA",829679929,NO,Yes,URBAN,KLERKSOORD,Klerksoord,"(-25.6486267816, 28.1168621839)"
700230961,GT,LAERSKOOL PRETORIA-OOS,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.230087,-25.75863008,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900056,PRETORIA,"209, ROPER, , BROOKLYN, PRETORIA",123621335,YES,Yes,URBAN,BROOKLYN,Brooklyn,"(-25.7646, 28.2393)"
700221176,GT,UOANE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.386145,-25.710024,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900018,PRETORIA,"14848, RAMAILA STREET, MAMELODI, MAMELODI, PRETORIA",128011617,YES,No,URBAN,MAMELODI,Mamelodi,"(-25.7158053, 28.3808295)"
700221200,GT,ZAKHELE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.379106999,-25.70648,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900023,PRETORIA,"11687, MAKGATHOLELA, MAMELODI EAST, MAMELODI, PRETORIA",128010529,YES,No,URBAN,MAMELODI EAST,Mamelodi East,"(-25.7102, 28.4008)"
700231035,GT,LAERSKOOL WONDERBOOM-SUID,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.20575336,-25.70547401,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900054,PRETORIA,"785, 12E LAAN, , WONDERBOOM-SUID, PRETORIA",129428705,YES,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700211094,GT,ST PAULUS LAERSKOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.285408333,-25.750025,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900046,PRETORIA,"23, BOEKENHOUT STREET, , BRUMMERIA, PRETORIA",128049670,NO,Yes,URBAN,BRUMMERIA,Brummeria,"(-25.7442235, 28.2835614)"
700914245,GT,BUSY BEE JUNIOR  PRIMARY SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.279905,-25.350016667,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900075,WONDERBOOM,"64, EIGHTH STREET, , WONDERBOOM, WONDERBOOM",127199290,NO,Yes,URBAN,WONDERBOOM,Wonderboom,"(-25.6833333, 28.2113889)"
700912260,GT,TSIBOGO PRIMARY SCHOOL,OPEN,PUBLIC,COMBINED SCHOOL,ORDINARY,28.03699757,-25.497841117,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900022,PRETORIA,"748, BLOCK U, MABOPANE, PRETORIA",127011644,YES,No,URBAN,MABOPANE,Mabopane,"(-25.5080556, 28.0680556)"
700210153,GT,HOËRSKOOL DIE WILGERS,OPEN,PUBLIC,SECONDARY SCHOOL,ORDINARY,28.30421573,-25.76449517,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900046,PRETORIA,"  8, FRANKWEG, LYNNWOODRIF, TSHWANE, PRETORIA",128075229,YES,Yes,URBAN,LYNNWOOD RIDGE,Lynnwood Ridge,"(-25.7627778, 28.2933333)"
700910824,GT,LEBOGANG PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,27.97973847,-25.59998174,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900031,GA-RANKUWA,"5806, SEFOLO STREET, ZONE 4, GA-RANKUWA, GA-RANKUWA",127038123,YES,No,URBAN,GA-RANKUWA,Ga-Rankuwa,"(-25.6041667, 28.0052778)"
700400980,GT,ACUDEO COLLEGE KIRKNEY,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.096973,-25.725024,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900055,PRETORIA,"3264, SIMONSBERG, KIRKNEY, PRETORIA",129419681,NO,Yes,URBAN,KIRKNEY,Kirkney,"(-25.7191667, 28.1016667)"
700914265,GT,REATLEGILE PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.026005,-25.509735,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900022,PRETORIA,"3291, UNIT U. EXTENTION, MABOPANE, PRETORIA",127258038,YES,No,URBAN,MABOPANE,Mabopane,"(-25.5080556, 28.0680556)"
700231662,GT,ESIKHISINI PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,28.05239015,-25.7681036,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900063,PRETORIA,"2, LEBOA, SAULSVILLE, ATTERIDGEVILLE, PRETORIA",123759129,YES,No,URBAN,SAULSVILLE,Saulsville,"(-25.7702778, 28.0547222)"
700911114,GT,MAROPENG PRIMARY SCHOOL,OPEN,PUBLIC,PRIMARY SCHOOL,ORDINARY,27.97595974,-25.595061441,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900030,PRETORIA,"811, NTSIMANE, GA-RANKUWA, PRETORIA",677290819,YES,No,URBAN,GA-RANKUWA,Ga-Rankuwa,"(-25.6041667, 28.0052778)"
